model,make,year,price,mileage,fuel_type,transmission,body_type,condition,seat,color,features,description,image_url
Mehran VXR,Suzuki,2006,67000,132000,Gasoline,Manual,Hatchback,local_used,5,Silver,Premium Audio,"2006 Suzuki Mehran VXR (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Bolan,Suzuki,2012,301500,40000,Gasoline,Manual,Wagon,foreign_used,5,Gray,Premium Audio; Navigation; Backup Camera,"2012 Suzuki Bolan (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
Alto,Suzuki,2011,59000,158000,Gasoline,Manual,Hatchback,foreign_used,5,Black,ABS; Air Bags; Premium Audio; Navigation; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2011 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Altis Grande,Toyota,2002,94000,185000,Gasoline,Automatic,Sedan,local_used,5,Silver,ABS; Backup Camera; Power Locks; Power Mirrors; Power Steering; Power Windows,"2002 Toyota Altis Grande (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Cuore,Daihatsu,2000,54000,130000,Gasoline,Manual,Hatchback,foreign_used,5,Silver,Premium Audio; Power Steering; Power Windows,"2000 Daihatsu Cuore (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cuore,Daihatsu,2008,46000,248000,Gasoline,Manual,Hatchback,foreign_used,5,Red,Premium Audio; Power Steering; Backup Camera,"2008 Daihatsu Cuore (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Bolan,Suzuki,2008,261000,1001,Gasoline,Manual,Wagon,local_used,5,White,Premium Audio; Navigation,"2008 Suzuki Bolan (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
Hijet,Daihatsu,2009,251500,115000,Gasoline,Automatic,Truck,foreign_used,2,Black,Premium Audio; Power Steering; Power Windows; Backup Camera,"2009 Daihatsu Hijet (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with premium audio.",
X-PV,FAW,2019,93000,70000,Gasoline,Manual,Hatchback,foreign_used,5,Red,ABS; Air Bags; Premium Audio,"2019 FAW X-PV (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Swift,Suzuki,2000,55500,82000,Gasoline,Manual,Hatchback,foreign_used,5,Red,ABS; Air Bags; Premium Audio; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2000 Suzuki Swift (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Corolla XLI,Toyota,2002,80500,205555,Gasoline,Automatic,Sedan,foreign_used,5,Black,Air Bags; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2002 Toyota Corolla XLI (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with air bags.",
Minica,Mitsubishi,2011,78000,75000,Gasoline,Manual,Hatchback,foreign_used,5,Silver,Air Bags; Premium Audio; Power Steering; Backup Camera,"2011 Mitsubishi Minica (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with air bags.",
Joy,Chevrolet,2007,72500,115000,Gasoline,Manual,Hatchback,foreign_used,5,Black,Keyless Entry; Power Mirrors; Power Steering; Power Windows,"2007 Chevrolet Joy (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with keyless entry.",
Mehran VXR,Suzuki,2013,88000,80000,Gasoline,Manual,Hatchback,local_used,5,White,Premium Audio; Power Locks,"2013 Suzuki Mehran VXR (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Civic Oriel,Honda,2000,136000,57000,Gasoline,Manual,Sedan,foreign_used,5,Silver,Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2000 Honda Civic Oriel (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with keyless entry.",
Exclusive,Chevrolet,2004,66000,25100,Gasoline,Manual,Hatchback,foreign_used,5,Black,Premium Audio; Power Steering; Power Windows,"2004 Chevrolet Exclusive (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
City Vario,Honda,2002,108000,123456,Gasoline,Automatic,Sedan,local_used,5,Silver,Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2002 Honda City Vario (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Cultus VXR,Suzuki,2013,85500,62442,Gasoline,Manual,Hatchback,local_used,5,White,Premium Audio; Navigation,"2013 Suzuki Cultus VXR (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cultus VXR,Suzuki,2009,66000,74000,Gasoline,Manual,Hatchback,local_used,5,Yellow,Premium Audio; Power Windows,"2009 Suzuki Cultus VXR (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Classic,KIA,2005,152000,170000,Gasoline,Manual,Sedan,local_used,5,Orange,Premium Audio; Power Locks; Power Steering,"2005 KIA Classic (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Santro,Hyundai,2000,71500,50000,Gasoline,Manual,Hatchback,foreign_used,5,Gray,Premium Audio; Power Windows; Backup Camera,"2000 Hyundai Santro (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Pajero Mini,Mitsubishi,2018,236500,60000,Gasoline,Automatic,SUV,foreign_used,7,Silver,ABS; Air Bags; Premium Audio; Keyless Entry; Power Locks; Power Steering; Power Windows,"2018 Mitsubishi Pajero Mini (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with ABS.",
X-PV,FAW,2020,101500,50719,Gasoline,Manual,Hatchback,foreign_used,5,Black,Premium Audio; Power Locks; Power Steering; Power Windows,"2020 FAW X-PV (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Terios Kid,Daihatsu,2001,144500,120000,Gasoline,Automatic,SUV,foreign_used,7,Blue,Air Bags; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2001 Daihatsu Terios Kid (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with air bags.",
Alto,Suzuki,2008,59500,104400,Gasoline,Manual,Hatchback,foreign_used,5,Gray,Premium Audio; Power Locks; Power Steering; Backup Camera,"2008 Suzuki Alto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Mehran VXR,Suzuki,2005,75000,14672,Gasoline,Manual,Hatchback,foreign_used,5,White,Premium Audio; Navigation,"2005 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cultus VXR,Suzuki,2003,52000,200000,Gasoline,Manual,Hatchback,local_used,5,Red,Premium Audio; Immobilizer Key; Power Locks; Backup Camera,"2003 Suzuki Cultus VXR (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Bolan,Suzuki,2021,355000,62000,Gasoline,Manual,Wagon,foreign_used,5,Blue,Premium Audio; Immobilizer Key; Navigation; Backup Camera,"2021 Suzuki Bolan (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
City Aspire,Honda,2004,96000,216000,Gasoline,Manual,Sedan,foreign_used,5,Red,Premium Audio; Keyless Entry; Power Locks; Power Mirrors; Power Steering; Power Windows,"2004 Honda City Aspire (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Civic Oriel,Honda,2012,112500,185000,Gasoline,Manual,Sedan,foreign_used,5,Gray,Power Locks; Power Steering; Power Windows,"2012 Honda Civic Oriel (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with power locks.",
Minica,Mitsubishi,2008,45000,198000,Gasoline,Automatic,Hatchback,foreign_used,5,Silver,ABS; Navigation; Power Locks; Backup Camera,"2008 Mitsubishi Minica (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Bolan,Suzuki,2013,312000,25750,Gasoline,Manual,Wagon,foreign_used,5,Black,Navigation; Backup Camera,"2013 Suzuki Bolan (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with navigation.",
Cultus VXR,Suzuki,2004,63500,100000,Gasoline,Manual,Hatchback,local_used,5,Red,Premium Audio; Keyless Entry; Power Locks,"2004 Suzuki Cultus VXR (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Exclusive,Chevrolet,2006,55500,190000,Gasoline,Automatic,Hatchback,foreign_used,5,Blue,ABS; Air Bags; Premium Audio; Power Locks; Power Windows,"2006 Chevrolet Exclusive (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Cultus VXR,Suzuki,2002,67000,12345,Gasoline,Manual,Hatchback,foreign_used,5,White,ABS; Air Bags; Premium Audio,"2002 Suzuki Cultus VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
City IDSI,Honda,2014,151000,105000,Gasoline,Manual,Sedan,foreign_used,5,White,Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows; Backup Camera,"2014 Honda City IDSI (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with premium audio.",
Bolan,Suzuki,2022,314000,38000,Gasoline,Manual,Wagon,local_used,5,Black,Premium Audio; Keyless Entry; Power Steering,"2022 Suzuki Bolan (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with premium audio.",
Mehran VXR,Suzuki,2016,70000,138000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,Premium Audio; Keyless Entry; Power Locks,"2016 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Altis Grande,Toyota,2012,105500,300000,Gasoline,Automatic,Sedan,foreign_used,5,Orange,ABS; Air Bags; Premium Audio; Power Mirrors; Power Windows,"2012 Toyota Altis Grande (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Pajero Mini,Mitsubishi,2007,149500,178000,Gasoline,Manual,SUV,foreign_used,7,White,ABS; Premium Audio; Power Locks; Power Mirrors; Power Steering,"2007 Mitsubishi Pajero Mini (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with ABS.",
Wagon R,Suzuki,2007,53500,170000,Gasoline,Automatic,Hatchback,foreign_used,5,Silver,ABS; Air Bags; Premium Audio; Power Locks; Power Steering; Power Windows; Backup Camera,"2007 Suzuki Wagon R (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Santro,Hyundai,2010,88500,12563,Gasoline,Manual,Hatchback,local_used,5,Black,Premium Audio; Backup Camera; Immobilizer Key; Keyless Entry,"2010 Hyundai Santro (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cultus VXR,Suzuki,2021,104500,36000,Gasoline,Manual,Hatchback,local_used,5,Yellow,ABS; Air Bags; Premium Audio; Power Mirrors; Power Steering; Backup Camera,"2021 Suzuki Cultus VXR (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Mehran VXR,Suzuki,2014,93500,70000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,Premium Audio,"2014 Suzuki Mehran VXR (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
Cuore,Daihatsu,2001,83500,10000,Gasoline,Manual,Hatchback,local_used,5,Blue,Premium Audio; Power Steering,"2001 Daihatsu Cuore (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
City Aspire,Honda,2000,100500,178000,Gasoline,Automatic,Sedan,local_used,5,Silver,Air Bags; Premium Audio; Power Locks; Power Mirrors; Power Steering; Power Windows,"2000 Honda City Aspire (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with air bags.",
Cultus VXR,Suzuki,2001,71000,65000,Gasoline,Manual,Hatchback,local_used,5,Black,Premium Audio,"2001 Suzuki Cultus VXR (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with premium audio.",
